uid,kind,ltp,rsw,season,date,window,eui_window,spice_window,phi_window,trigger_instrument,seen_from_earth,so_location,so_au,target_coords,notes,eui_observed,eui_files,eui_cadence,eui_status,spice_observed,spice_files,spice_cadence,phi_observed,phi_files,phi_cadence,instruments_soar,soop
MFT20251126a,Trigger,LTP21,,Winter 2025,2025-11-26,10:00-14:00,,,,EUI,,"(15.9, 10.9)",0.88,,,10:00 - 13:59,4978,2 s,as planned,,,,,,,EUI,L_BOTH_HRES_HCAD_Flare-Hunting
MFT20251127a,Trigger,LTP21,,Winter 2025,2025-11-27,10:00-14:00,,,,EUI,,"(15.8, 10.7)",0.89,,,10:00 - 13:59,4900,2 s,as planned,,,,,,,EUI,L_BOTH_HRES_HCAD_Flare-Hunting;none
MFT20251128a,Trigger,LTP21,,Winter 2025,2025-11-28,10:00-14:00,,,,EUI,,"(15.6, 10.5)",0.89,,,10:00 - 13:59,4985,2 s,as planned,,,,,,,EUI,L_BOTH_HRES_HCAD_Flare-Hunting;none
MFT20251129a,Trigger,LTP21,,Winter 2025,2025-11-29,10:00-14:00,,,,EUI,,"(15.4, 10.3)",0.89,,,10:00 - 13:59,4850,2 s,as planned,,,,,,,EUI,L_BOTH_HRES_HCAD_Flare-Hunting
MFT20251210a,Trigger,LTP21,,Winter 2025,2025-12-10,06:00-10:00,,,,EUI,,"(13.2, 8.2)",0.9,,,06:00 - 09:59,5397,2 s,as planned,,,,,,,EUI,L_BOTH_HRES_HCAD_Flare-Hunting;none
MFT20251211a,Trigger,LTP21,,Winter 2025,2025-12-11,01:36-05:36,,,,EUI,,"(13.0, 8.0)",0.9,,,01:36 - 05:35,5400,2 s,as planned,,,,,,,EUI,L_BOTH_HRES_HCAD_Flare-Hunting
MFT20251211b,Trigger,LTP21,,Winter 2025,2025-12-11,21:12-01:12,,,,EUI,,"(12.8, 7.8)",0.9,,,21:12 - 01:11 (+1d),5400,2 s,as planned,18:19 - 21:35,2,11712 s,,,,"EUI, SPICE",L_BOTH_HRES_HCAD_Flare-Hunting
MFT20251212a,Trigger,LTP21,,Winter 2025,2025-12-12,16:48-20:48,,,,EUI,,"(12.7, 7.7)",0.9,,,16:48 - 20:47,5400,2 s,as planned,18:00 - 21:35,3,1122 s,,,,"EUI, SPICE",L_BOTH_HRES_HCAD_Flare-Hunting
MFT20251213a,Trigger,LTP21,,Winter 2025,2025-12-13,12:24-16:24,,,,EUI,,"(12.5, 7.5)",0.9,,,12:24 - 16:23,5399,2 s,as planned,,,,,,,EUI,L_BOTH_HRES_HCAD_Flare-Hunting
MFT20251214a,Trigger,LTP21,,Winter 2025,2025-12-14,08:00-12:00,,,,EUI,,"(12.3, 7.3)",0.9,,,08:00 - 11:59,5400,2 s,as planned,06:19 - 09:35,2,11709 s,,,,"EUI, SPICE",L_BOTH_HRES_HCAD_Flare-Hunting
MFT20260129a,Trigger,LTP22,,Winter 2026,2026-01-29,23:40-02:30,,,,EUI,,"(11.5, -6.3)",0.64,,,23:40 - 02:29 (+1d),3815,2 s,as planned,22:50 - 23:54,1,,,,,"EUI, SPICE",none
MFT20260130a,Trigger,LTP22,,Winter 2026,2026-01-30,19:20-22:10,,,,EUI,,"(12.0, -6.7)",0.63,,,19:20 - 22:09,3815,2 s,as planned,,,,,,,EUI,L_BOTH_HRES_HCAD_Flare-Hunting;none
MFT20260131a,Trigger,LTP22,,Winter 2026,2026-01-31,15:00-17:50,,,,EUI,,"(12.5, -7.1)",0.62,,,15:00 - 17:49,3816,2 s,as planned,,,,,,,EUI,L_BOTH_HRES_HCAD_Flare-Hunting
MFT20260201a,Trigger,LTP22,,Winter 2026,2026-02-01,10:40-14:30,,,,EUI,,"(13.0, -7.4)",0.62,,,10:40 - 13:29,3816,2 s,ended 60 min early,,,,,,,EUI,L_BOTH_HRES_HCAD_Flare-Hunting
MFT20260202a,Trigger,LTP22,,Winter 2026,2026-02-02,06:20-09:10,,,,EUI,,"(13.6, -7.8)",0.61,,,06:20 - 09:09,3816,2 s,as planned,07:27 - 09:02,16,356 s,,,,"EUI, SPICE",L_BOTH_HRES_HCAD_Flare-Hunting
MFT20260203a,Trigger,LTP22,,Winter 2026,2026-02-03,02:00-04:50,,,,EUI,,"(14.2, -8.2)",0.6,,,02:00 - 06:32,4557,2 s,ended 103 min late; ran past planned window,00:44 - 02:19,16,356 s,,,,"EUI, SPICE",L_BOTH_HRES_HCAD_Flare-Hunting
MFT20260203b,Trigger,LTP22,,Winter 2026,2026-02-03,21:40-00:30,,,,EUI,,"(14.8, -8.6)",0.59,,,21:40 - 01:41 (+1d),4531,2 s,ended 72 min late; ran past planned window,22:50 - 23:54,1,,,,,"EUI, SPICE",L_BOTH_HRES_HCAD_Flare-Hunting
MFT20260204a,Trigger,LTP22,,Winter 2026,2026-02-04,17:20-20:10,,,,EUI,,"(15.5, -9.0)",0.58,,,17:20 - 21:08,4324,2 s,ended 59 min late; ran past planned window,,,,,,,EUI,L_BOTH_HRES_HCAD_Flare-Hunting
MFT20260205a,Trigger,LTP22,,Winter 2026,2026-02-05,13:00-15:50,,,,EUI,,"(16.3, -9.4)",0.57,,,13:00 - 17:07,4558,2 s,ended 77 min late; ran past planned window,,,,,,,EUI,L_BOTH_HRES_HCAD_Flare-Hunting
MFT20260206a,Trigger,LTP22,,Winter 2026,2026-02-06,08:40-11:30,,,,EUI,,"(17.1, -9.8)",0.56,,,08:40 - 12:49,4557,2 s,ended 80 min late; ran past planned window,10:16 - 11:50,16,356 s,,,,"EUI, SPICE",L_BOTH_HRES_HCAD_Flare-Hunting;none
MFT20260207a,Trigger,LTP22,,Winter 2026,2026-02-07,04:20-07:10,,,,EUI,,"(18.0, -10.2)",0.55,,,04:20 - 07:09,3816,2 s,as planned,,,,,,,EUI,L_BOTH_HRES_HCAD_Flare-Hunting;none
MFT20260208a,Trigger,LTP22,,Winter 2026,2026-02-08,00:39-02:50,,,,EUI,,"(19.0, -10.6)",0.54,,,00:00 - 02:49,3815,2 s,started 39 min early; ran past planned window,,,,,,,EUI,none
MFT20260208b,Trigger,LTP22,,Winter 2026,2026-02-08,04:50-06:25,,,,SPICE,YES,"(19.2, -10.7)",0.54,,,,,,no data,04:50 - 06:25,16,356 s,,,,SPICE,
MFW20260212A,Major Flare,LTP22,25,Winter 2026,2026-02-12,17:00 - 21:25,17:00-21:25,17:00 - 21:25,,,,"(26.1, -13.1)",0.48,,,17:00 - 20:59,6720,2 s,ended 25 min early,17:01 - 21:19,22,564 s,,,,"EUI, SPICE",L_BOTH_HRES_HCAD_Major-Flare
MFW20260213A,Major Flare,LTP22,25,Winter 2026,2026-02-13,16:30 - 20:30,16:30-20:30,16:30 - 20:30,,,,"(28.0, -13.6)",0.47,,,16:30 - 20:29,6720,2 s,as planned,16:31 - 20:29,20,564 s,16:30 - 20:01,8,30 min,"EUI, SPICE, PHI",L_BOTH_HRES_HCAD_Major-Flare
MFW20260228A,Major Flare,LTP22,26,Winter 2026,2026-02-28,20:05 - 00:25,20:05-00:25,20:05 - 00:25,,,,"(89.8, - 13.0)",0.3,,,20:05 - 00:04 (+1d),6720,2 s,ended 20 min early,20:06 - 00:24 (+1d),22,564 s,20:05 - 23:36,7,30 min,"EUI, SPICE, PHI",L_BOTH_HRES_HCAD_Major-Flare
MFT20260818A,Trigger,LTP24,29,Summer 2026,2026-08-18,16:05 - 22:05,,,,EUI,,,0.29,"(-59.5, -9.6)",,,,,no data,,,,,,,,
MFW20260818A,Major Flare,LTP24,29,Summer 2026,2026-08-18,12:05 - 16:05,12:05 - 16:05,12:05 - 16:05,,,,"(-59.5, -9.6)",0.29,,,,,,no data,,,,,,,,
MFT20260819A,Trigger,LTP24,29,Summer 2026,2026-08-19,20:05 - 00:05,,,,EUI,,,0.29,"(-51.9, -7.4)",,,,,no data,,,,,,,,
MFW20260819A,Major Flare,LTP24,29,Summer 2026,2026-08-19,16:05 - 20:05,16:05 - 20:05,16:05 - 20:05,,,,"(-51.9, -7.4)",0.29,,,,,,no data,,,,,,,,
MFT20260820A,Trigger,LTP24,29,Summer 2026,2026-08-20,16:30 - 19:55,,,,EUI,,,0.3,"(-46.5, -5.7)",,,,,no data,,,,,,,,
MFW20260820A,Major Flare,LTP24,29,Summer 2026,2026-08-20,12:30 - 16:30,12:30 - 16:30,12:30 - 16:30,,,,"(-46.5, -5.7)",0.3,,,,,,no data,,,,,,,,
MFW20260918A,Major Flare,LTP24,30,Summer 2026,2026-09-18,19:30 - 23:30,19:30 - 23:30,19:30 - 23:30,,,,"(38.3, 16.8)",0.62,,,,,,no data,,,,,,,,
